Date Created ,Text
Sat Mar 18 16:34:37 ," RT @SwansOfficial: Here's how we'll line up against @afcbournemouth this afternoon! \\u26bd\\ufe0f\\n\\n#BOUSWA https:\\/\\/t.co\\/34FhzCIznD\"""
Sat Mar 18 16:34:38 ," THE GUARDIAN - Bournemouth v Swansea City: Premier League \\u2013 live! https:\\/\\/t.co\\/irBm9v0vgj #PaginaNuova #Sports\"""
Sat Mar 18 16:34:45 ," RT @btsportfootball: Here's how both sides line up in a crunch game in the bottom half. #BOUSWA https:\\/\\/t.co\\/CN1d0nrix4\"""
Sat Mar 18 16:34:45 ," Bournemouth v Swansea City: Premier League \\u2013 live! https:\\/\\/t.co\\/QGkCh0P3ZU | Guardian\"""
Sat Mar 18 16:34:47 ," premierleague: RT SwansOfficial: Here's how we'll line up against afcbournemouth this afternoon! \\u26bd\\ufe0f\\n\\n#BOUSWA https:\\/\\/t.co\\/hfIiyDJyq7\"""
Sat Mar 18 16:34:52 ," RT SwansOfficial: Here's how we'll line up against afcbournemouth this afternoon! \\u26bd\\ufe0f\\n\\n#BOUSWA https:\\/\\/t.co\\/3xizYKenhn\"""
Sat Mar 18 16:34:56 ," Live Commentary: Bournemouth vs. Swansea City https:\\/\\/t.co\\/0hJWM8NIRt (Source: Sports Mole)\"""
Sat Mar 18 16:34:58 ," Very weird team https:\\/\\/t.co\\/Mqy7O4YKII\"""
Sat Mar 18 16:35:08 ," RT @SwansOfficial: Here's how we'll line up against @afcbournemouth this afternoon! \\u26bd\\ufe0f\\n\\n#BOUSWA https:\\/\\/t.co\\/34FhzCIznD\"""
Sat Mar 18 16:35:08 ," King to score and Bournemouth to win NOW 3\\/1... https:\\/\\/t.co\\/YQgWBVpOHN #BOUSWA https:\\/\\/t.co\\/jkEAf5GaJB\"""
Sat Mar 18 16:35:11 ," RT @SwansOfficial: Here's how we'll line up against @afcbournemouth this afternoon! \\u26bd\\ufe0f\\n\\n#BOUSWA https:\\/\\/t.co\\/34FhzCIznD\"""
Sat Mar 18 16:35:12 ," Here's the @SwansOfficial side for the clash with @afcbournemouth #bouswa #PremierLeague https:\\/\\/t.co\\/aodNi7PtH8\\u2026 https:\\/\\/t.co\\/PQ9ffjc9bX\"""
Sat Mar 18 16:35:13 ," Bournemouth vs Swansea City live score and goal updates from Premier League clash https:\\/\\/t.co\\/EjeRhA0grn #swansea\"""
Sat Mar 18 16:35:19 ," Live!! AFC Bournemouth vs Swansea City\\nMalam ini pkl 00.30 WIB\\nLangsung klik: https:\\/\\/t.co\\/pvoykqNQm1 https:\\/\\/t.co\\/YIvFkUV4A5 jkt48\"""
Sat Mar 18 16:35:23 , #AFCB XI v #Swans: Boruc
Sat Mar 18 16:35:28 , @SkyBet over 2.5 goals 
Sat Mar 18 16:35:34 ," RT SwansOfficial: Here's how we'll line up against afcbournemouth this afternoon! \\u26bd\\ufe0f\\n\\n#BOUSWA https:\\/\\/t.co\\/h4v1SW8Zcy\"""
Sat Mar 18 16:35:59 ," RT @SwansOfficial: Here's how we'll line up against @afcbournemouth this afternoon! \\u26bd\\ufe0f\\n\\n#BOUSWA https:\\/\\/t.co\\/34FhzCIznD\"""
Sat Mar 18 16:35:59 ," RT @SwansOfficial: Here's how we'll line up against @afcbournemouth this afternoon! \\u26bd\\ufe0f\\n\\n#BOUSWA https:\\/\\/t.co\\/34FhzCIznD\"""
Sat Mar 18 16:35:59 ," RT @SwansOfficial: Here's how we'll line up against @afcbournemouth this afternoon! \\u26bd\\ufe0f\\n\\n#BOUSWA https:\\/\\/t.co\\/34FhzCIznD\"""
Sat Mar 18 16:36:04 ," what the fuck is this https:\\/\\/t.co\\/Vq5HBUR2CE\"""
Sat Mar 18 16:36:08 ," This is Swansea City AFC at its finest ladies and gentlemen https:\\/\\/t.co\\/Ct6r10TJPp\"""
Sat Mar 18 16:36:10 ," Bournemouth v Swansea City: Premier League \\u2013 live! https:\\/\\/t.co\\/y66OAYoj3Z https:\\/\\/t.co\\/Dm5gZolxiM\"""
Sat Mar 18 16:36:10 ," Bournemouth v Swansea City: Premier League \\u2013 live! https:\\/\\/t.co\\/JqxUogWVOm https:\\/\\/t.co\\/zxTttjbHdC\"""
Sat Mar 18 16:36:10 ," Bournemouth v Swansea City: Premier League \\u2013 live! https:\\/\\/t.co\\/E2jAWS7qxM https:\\/\\/t.co\\/bLHSKmFNUU\"""
